               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11557,            0.014815,                   0,            0.006122,             0.82105,            0.018923,            0.004982,             0.11494,             0.01036,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.11336,            0.017809,                   0,            0.036235,            0.073684,            0.030456,            0.007835,             0.09364,             0.01163,                   0,            0.090089,           0.0010891,           0.0010891
                   2,            0.090451,            0.022704,                   0,            0.061097,             0.14737,             0.04053,           0.0099175,            0.080666,             0.01289,                   0,            0.084666,           0.0016663,           0.0016663
                   3,            0.084666,            0.023235,                   0,             0.14853,             0.26625,             0.10383,            0.027566,            0.069441,            0.013178,                   0,            0.079232,           0.0022317,           0.0022317
                   4,            0.077893,            0.023821,                   0,              0.1561,             0.42632,             0.15091,            0.044978,            0.065501,            0.012614,                   0,            0.073785,           0.0027852,           0.0027852
                   5,            0.061364,            0.025691,                   0,             0.53928,             0.54212,             0.50192,             0.20636,            0.065892,            0.014607,                   0,            0.068327,           0.0033267,           0.0033267
                   6,            0.062962,             0.02431,                   0,             0.28216,                 0.4,             0.25492,            0.093925,             0.06662,            0.019574,                   0,            0.062856,           0.0038565,           0.0038565
                   7,            0.059704,            0.023338,                   0,             0.69103,             0.45263,             0.61212,             0.24337,            0.067642,            0.016466,                   0,            0.057374,           0.0043743,           0.0043743
                   8,            0.055701,            0.020552,                   0,             0.84905,             0.68087,             0.79622,             0.38169,             0.05529,            0.013931,                   0,             0.05188,           0.0048802,           0.0048802
                   9,            0.051653,            0.019276,                   0,             0.32226,             0.61579,             0.30616,             0.10133,            0.061222,             0.01193,                   0,            0.046374,           0.0053743,           0.0053743
                  10,            0.052484,            0.020078,                   0,             0.54852,             0.72105,             0.63148,             0.24879,            0.062662,           0.0098979,                   0,            0.040857,           0.0058565,           0.0058565
                  11,            0.055445,            0.020465,                   0,             0.70495,             0.76842,             0.83519,             0.38419,            0.049638,            0.008787,                   0,            0.035327,           0.0063268,           0.0063268
                  12,              0.0498,            0.016702,                   0,             0.54242,             0.61144,             0.61394,             0.27243,            0.057748,           0.0077024,                   0,            0.029785,           0.0067852,           0.0067852
                  13,            0.054503,            0.019335,                   0,             0.56593,             0.82105,             0.77062,             0.40202,            0.047248,            0.007437,                   0,            0.024232,           0.0072318,           0.0072318
                  14,            0.054256,            0.017996,                   0,             0.65928,             0.66842,             0.76795,             0.44619,            0.044962,           0.0073654,                   0,            0.018666,           0.0076665,           0.0076665
                  15,            0.047061,            0.016687,                   0,             0.49294,             0.85263,             0.71821,             0.35199,            0.046291,           0.0075131,                   0,            0.013089,           0.0080892,           0.0080892
                  16,            0.050683,            0.018808,                   0,             0.78183,             0.93158,             0.86404,             0.42703,            0.049876,           0.0066218,                   0,            0.008416,            0.008416,            0.008416
                  17,            0.046992,            0.017646,                   0,             0.66888,             0.76316,             0.77398,             0.36448,            0.046683,           0.0071607,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.046603,            0.016649,                   0,             0.71158,             0.87368,             0.85682,             0.33629,            0.044458,             0.00688,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.046527,            0.016811,                   0,             0.74389,             0.86316,             0.89905,             0.54339,            0.043486,           0.0065988,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.044283,            0.018035,                   0,             0.80601,             0.91844,             0.90367,             0.46292,            0.044531,           0.0071608,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.041436,              0.0158,                   0,             0.90037,             0.95126,             0.97263,             0.59058,            0.033412,            0.007473,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.037716,            0.014138,                   0,             0.73025,             0.90526,             0.86369,             0.40802,            0.038432,           0.0074074,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.043728,            0.014664,                   0,             0.81753,             0.97368,             0.88847,             0.51194,             0.03343,           0.0064251,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.039078,            0.016622,                   0,             0.96901,             0.97368,             0.98281,              0.5445,            0.032747,           0.0061996,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.03481,            0.017268,                   0,             0.87561,             0.96323,             0.97898,             0.58905,            0.032056,           0.0060054,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.034181,            0.013636,                   0,              0.9661,             0.97368,               0.992,             0.66882,            0.025964,           0.0053991,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.035459,            0.015815,                   0,             0.97484,             0.97895,             0.99212,             0.61506,            0.028989,           0.0055216,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.033792,            0.013461,                   0,             0.97913,              0.9875,             0.98995,             0.58447,             0.03189,           0.0054861,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.034919,            0.014214,                   0,             0.96881,             0.98083,             0.98696,             0.65004,            0.027881,           0.0052911,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.032049,            0.013879,                   0,             0.97889,             0.97616,             0.98932,             0.62748,             0.02896,           0.0051655,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.029696,            0.012795,                   0,             0.98877,             0.98947,             0.99275,             0.65819,             0.02598,           0.0051363,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.030901,            0.013436,                   0,             0.97328,             0.96316,             0.99034,              0.6739,            0.026028,           0.0052759,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.033956,            0.012512,                   0,             0.96299,             0.95855,             0.98959,              0.6398,            0.027167,           0.0054372,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.027355,            0.012787,                   0,             0.98623,             0.98947,             0.99383,              0.6871,            0.026677,           0.0050129,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.031757,            0.012785,                   0,              0.9898,             0.99474,             0.99463,             0.69734,             0.02454,           0.0046636,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.029486,            0.013042,                   0,             0.99319,             0.99474,             0.99495,             0.73259,            0.021682,            0.004487,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.028317,            0.013907,                   0,             0.99442,             0.99474,             0.99495,              0.7151,            0.025857,           0.0045435,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.029798,            0.012013,                   0,                   1,             0.99454,               0.995,             0.73432,            0.023747,           0.0045065,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.028223,            0.014897,                   0,             0.99625,             0.98947,             0.99484,             0.77587,            0.020416,           0.0043226,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.027801,            0.011576,                   0,                   1,             0.99742,               0.995,             0.70028,            0.024506,            0.004445,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026784,            0.011463,                   0,                   1,              0.9991,               0.995,             0.76972,            0.021088,           0.0043475,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.028219,            0.012079,                   0,                   1,             0.99944,               0.995,             0.74942,            0.023913,           0.0043716,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.025086,             0.01042,                   0,                   1,             0.99908,               0.995,             0.75828,            0.020533,           0.0044036,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.024695,            0.013101,                   0,             0.99356,                   1,               0.995,             0.76179,            0.020719,           0.0044175,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027761,            0.010357,                   0,             0.99966,                   1,               0.995,             0.77596,            0.019717,           0.0043654,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024267,            0.011062,                   0,                   1,             0.99942,               0.995,             0.75741,            0.019885,           0.0041771,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025773,            0.011715,                   0,                   1,             0.99949,               0.995,             0.74682,            0.021544,            0.004186,                   0,            0.005446,            0.005446,            0.005446
